Index,Area,Perimeter,Approx_Vertices,BoundingBox_X,BoundingBox_Y,BoundingBox_W,BoundingBox_H,Aspect_Ratio,Centroid_X,Centroid_Y,Is_Convex,ConvexHull_Points
0,2.0,5.656854152679443,4,256,826,3,3,1.0,257,827,1,4
1,278.0,128.71067690849304,9,107,757,50,31,1.61,127,772,0,15
2,213.5,108.5269113779068,9,185,702,12,48,0.25,190,728,0,13
3,172.0,100.36753046512604,10,97,676,35,31,1.13,115,689,0,11
4,4.0,7.656854152679443,6,829,671,3,4,0.75,830,672,1,6
5,2.0,5.656854152679443,4,828,670,3,3,1.0,829,671,1,4
6,5.5,9.071067690849304,6,827,667,4,4,1.0,828,668,1,6
7,33.5,24.727921843528748,13,858,659,10,7,1.43,861,661,0,9
8,182.0,89.39696824550629,10,37,658,31,26,1.19,50,670,0,14
9,67.5,40.72792184352875,13,796,650,7,18,0.39,798,659,0,11
10,4.0,7.656854152679443,6,931,648,4,3,1.33,932,649,1,6
11,22.5,17.899494647979736,7,172,640,7,6,1.17,174,642,1,7
12,141.5,51.21320295333862,10,916,631,11,21,0.52,920,641,0,12
13,9.0,12.485281229019165,7,507,631,4,6,0.67,508,633,0,6
14,455.0,129.4558436870575,11,554,631,13,58,0.22,559,659,0,12
15,11.5,13.071067690849304,7,915,625,4,6,0.67,916,627,1,7
16,10621.5,676.0559109449387,6,119,620,137,205,0.67,203,734,0,17
17,2054.5,462.2670258283615,12,789,620,51,103,0.5,813,670,0,17
18,1601.0,403.96550989151,14,847,614,48,103,0.47,864,663,0,20
19,1623.0,346.10764515399933,15,901,611,58,93,0.62,923,654,0,17
20,1813.0,520.9360724687576,8,578,611,52,90,0.58,604,654,0,16
21,1493.5,185.58073389530182,7,953,601,43,72,0.6,975,635,0,20
22,9787.0,628.3818116188049,6,15,595,172,147,1.17,116,676,0,14
23,3060.5,244.69343101978302,9,943,593,61,90,0.68,975,635,0,20
24,1364.5,360.91882741451263,16,496,592,54,91,0.59,517,637,0,18
25,1531.0,412.98484313488007,12,438,585,62,85,0.73,465,626,0,21
26,5336.5,686.8742338418961,17,652,582,121,106,1.14,711,635,0,20
27,352.5,109.78174483776093,11,547,581,36,28,1.29,565,594,0,15
28,8448.5,381.71276819705963,6,646,576,136,120,1.13,711,635,0,21
29,2.0,5.656854152679443,4,523,532,3,3,1.0,524,533,1,4
30,713.5,186.7523069381714,9,341,515,39,76,0.51,365,554,0,21
31,949.5,378.57568168640137,5,515,512,159,73,2.18,593,550,0,17
32,1144.0,465.2447282075882,20,477,509,87,54,1.61,519,534,0,18
33,544.5,170.26702535152435,9,301,503,33,72,0.46,312,536,0,15
34,398.5,139.78174471855164,12,249,502,31,50,0.62,268,524,0,17
35,2973.5,238.20815086364746,11,311,501,58,88,0.66,339,544,0,28
36,7210.5,323.80613052845,13,295,492,91,106,0.86,339,544,0,36
37,1188.0,475.6122579574585,18,838,483,93,68,1.37,883,514,0,17
38,127.5,71.69848430156708,12,267,471,31,13,2.38,282,476,0,10
39,112.5,60.870057344436646,10,142,464,12,26,0.46,149,476,0,12
40,2665.0,470.07315504550934,15,216,463,96,99,0.97,265,513,0,18
41,399.0,178.50966620445251,9,178,456,36,74,0.49,195,492,0,13
42,1698.5,299.17871284484863,10,163,448,61,95,0.64,195,493,0,14
43,1747.0,377.84776055812836,16,106,425,75,84,0.89,144,467,0,20
44,24.5,19.899494767189026,14,420,414,7,7,1.0,422,416,0,9
45,19.5,20.242640614509583,9,1110,413,4,9,0.44,1111,417,0,7
46,91.5,59.071067690849304,9,42,387,5,28,0.18,43,399,0,9
47,203.5,55.35533797740936,12,521,381,20,17,1.18,530,388,0,14
48,200.0,54.76955187320709,10,885,378,20,17,1.18,894,386,0,15
49,607.0,92.42640566825867,11,516,376,29,27,1.07,530,388,0,18
50,596.5,93.49747395515442,15,880,373,30,27,1.11,894,386,0,21
51,633.5,95.497474193573,8,558,359,31,29,1.07,572,372,0,18
52,642.5,97.49747407436371,11,922,356,32,29,1.1,937,369,0,20
53,1325.5,136.81118214130402,13,552,353,43,40,1.07,572,371,0,23
54,1311.5,136.46803605556488,12,917,350,43,40,1.07,937,369,0,25
55,370.0,74.0832599401474,10,517,337,24,25,0.96,528,348,0,18
56,374.5,73.49747359752655,8,881,334,24,25,0.96,892,345,0,18
57,13004.0,497.78888487815857,16,483,330,137,125,1.1,551,395,0,45
58,13000.0,501.44573855400085,16,848,327,137,125,1.1,916,392,0,43
59,16797.5,487.8893896341324,13,477,324,150,137,1.09,550,392,0,47
60,16571.5,485.4041085243225,12,841,322,150,135,1.11,914,389,0,44
61,38770.5,883.5117539167404,10,744,316,363,147,2.47,921,392,0,54
62,2.0,5.656854152679443,4,221,315,3,3,1.0,222,316,1,4
63,42748.5,908.281306385994,9,380,313,374,156,2.4,576,392,0,48
64,10.0,13.313708186149597,7,222,313,6,5,1.2,224,314,0,6
65,10.0,12.485281229019165,6,300,305,4,6,0.67,301,307,1,6
66,21.5,17.899494767189026,12,183,303,6,7,0.86,185,306,0,10
67,2.0,5.656854152679443,4,253,294,3,3,1.0,254,295,1,4
68,24013.0,2610.5525074005127,14,304,270,801,129,6.21,759,318,0,37
69,525.5,88.18376529216766,11,808,243,24,30,0.8,819,258,0,18
70,206.5,58.52691113948822,13,872,242,18,20,0.9,880,251,0,12
71,322.0,69.11269795894623,12,796,221,25,18,1.39,808,228,0,17
72,2420.5,542.1391725540161,12,166,222,83,169,0.49,204,306,0,18
73,2527.5,567.9381629228592,11,229,221,81,176,0.46,271,308,0,15
74,374.5,75.35533833503723,10,858,216,27,20,1.35,870,226,0,17
75,5469.5,456.634556889534,11,879,213,163,70,2.33,953,248,0,22
76,11239.0,808.0386652946472,18,652,205,223,99,2.25,759,244,0,19
77,976.0,313.7056245803833,12,404,194,65,89,0.73,431,239,0,17
78,1469.5,505.203097820282,18,453,179,82,82,1.0,490,216,0,17
79,142.5,46.38477611541748,11,781,145,14,15,0.93,786,151,0,10
80,128.0,46.284271001815796,11,762,145,16,15,1.07,770,151,0,12
81,458.0,117.94112503528595,9,319,141,52,13,4.0,344,147,0,12
82,10.0,12.485281229019165,6,793,140,6,4,1.5,795,141,1,6
83,20.0,17.313708186149597,9,774,139,6,7,0.86,776,142,0,8
84,5.5,9.071067690849304,6,428,133,4,4,1.0,429,134,1,6
85,146.5,49.69848418235779,13,776,125,17,16,1.06,783,132,0,15
86,132.5,45.21320307254791,10,760,125,13,16,0.81,766,133,0,13
87,186.5,55.69848430156708,13,409,120,20,16,1.25,419,127,0,14
88,155.5,49.698484659194946,13,432,117,16,16,1.0,439,124,0,14
89,9.5,11.899494767189026,6,426,115,5,5,1.0,427,116,1,6
90,1103.5,363.11983704566956,12,669,108,53,92,0.58,694,143,0,18
91,2108.0,245.6223646402359,20,746,106,66,72,0.92,777,141,0,13
92,165.0,49.455843925476074,10,407,103,18,14,1.29,415,110,0,12
93,143.5,47.21320295333862,10,429,101,17,13,1.31,436,107,0,12
94,1518.5,519.4041080474854,9,816,99,73,100,0.73,850,139,0,20
95,2.0,5.656854152679443,4,423,98,3,3,1.0,424,99,1,4
96,2040.5,445.97265005111694,11,294,93,95,101,0.94,343,146,0,19
97,2407.0,260.93607211112976,21,387,85,79,67,1.18,426,117,0,13
98,1024.5,333.94826650619507,11,487,76,39,82,0.48,499,111,0,14
