Index,Area,Perimeter,Approx_Vertices,BoundingBox_X,BoundingBox_Y,BoundingBox_W,BoundingBox_H,Aspect_Ratio,Centroid_X,Centroid_Y,Is_Convex,ConvexHull_Points
0,5336.5,686.8742338418961,17,652,582,121,106,1.14,711,635,0,20
1,1144.0,465.2447282075882,20,477,509,87,54,1.61,519,534,0,18
2,1188.0,475.6122579574585,18,838,483,93,68,1.37,883,514,0,17
3,2665.0,470.07315504550934,15,216,463,96,99,0.97,265,513,0,18
4,1747.0,377.84776055812836,16,106,425,75,84,0.89,144,467,0,20
5,596.5,93.49747395515442,15,880,373,30,27,1.11,894,386,0,21
6,13004.0,497.78888487815857,16,483,330,137,125,1.1,551,395,0,45
7,13000.0,501.44573855400085,16,848,327,137,125,1.1,916,392,0,43
8,1469.5,505.203097820282,18,453,179,82,82,1.0,490,216,0,17
9,2108.0,245.6223646402359,20,746,106,66,72,0.92,777,141,0,13
10,2407.0,260.93607211112976,21,387,85,79,67,1.18,426,117,0,13
