Index,Area,Perimeter,Approx_Vertices,BoundingBox_X,BoundingBox_Y,BoundingBox_W,BoundingBox_H,Aspect_Ratio,Centroid_X,Centroid_Y,Is_Convex,ConvexHull_Points
0,5368.0,688.6315912008286,17,652,582,121,106,1.14,711,635,0,19
1,298.5,123.63960874080658,17,524,516,39,30,1.3,546,528,0,10
2,813.0,338.5340505838394,18,477,509,60,54,1.11,510,536,0,14
3,1179.0,476.44068825244904,17,838,482,93,69,1.35,883,514,0,18
4,1735.5,377.7472549676895,17,106,424,75,85,0.88,144,467,0,18
5,13031.5,501.2030967473984,17,483,330,137,125,1.1,551,395,0,45
6,1447.5,506.03152441978455,18,453,179,82,82,1.0,490,216,0,19
7,2098.0,243.96550977230072,20,746,106,66,71,0.93,777,141,0,15
8,172.5,51.69848453998566,18,407,102,18,16,1.12,415,110,0,14
9,2397.0,264.10764515399933,21,386,85,80,67,1.19,426,117,0,13
